id,en,chs,max_rarity,flower_id,flower_en,flower_chs,plume_id,plume_en,plume_chs,sands_id,sands_en,sands_chs,goblet_id,goblet_en,goblet_chs,circlet_id,circlet_en,circlet_chs,two_pc,four_pc,mona_format
adventurer,Adventurer,冒险家,3,adventurers_flower,Adventurer's Flower,冒险家之花,adventurers_tail_feather,Adventurer's Tail Feather,冒险家尾羽,adventurers_pocket_watch,Adventurer's Pocket Watch,冒险家怀表,adventurers_golden_goblet,Adventurer's Golden Goblet,冒险家金杯,adventurers_bandana,Adventurer's Bandana,冒险家头带,生命值上限提高1000点。,开启各类宝箱后的5秒内，持续恢复30%生命值。,adventurer
archaic_petra,Archaic Petra,悠古的磐岩,5,flower_of_creviced_cliff,Flower of Creviced Cliff,磐陀裂生之花,feather_of_jagged_peaks,Feather of Jagged Peaks,嵯峨群峰之翼,sundial_of_enduring_jade,Sundial of Enduring Jade,星罗圭璧之晷,goblet_of_chiseled_crag,Goblet of Chiseled Crag,巉岩琢塑之樽,mask_of_solitude_basalt,Mask of Solitude Basalt,不动玄石之相,获得15%岩元素伤害加成。,获得结晶反应形成的晶片时，队伍中所有角色获得35%对应元素伤害加成，持续10秒。同时只能通过该效果获得一种元素伤害加成。,archaicPetra
berserker,Berserker,战狂,4,berserkers_rose,Berserker's Rose,战狂的蔷薇,berserkers_indigo_feather,Berserker's Indigo Feather,战狂的翎羽,berserkers_timepiece,Berserker's Timepiece,战狂的时计,berserkers_bone_goblet,Berserker's Bone Goblet,战狂的骨杯,berserkers_battle_mask,Berserker's Battle Mask,战狂的鬼面,暴击率提高12%。,生命值低于70%时，暴击率额外提升24%。,berserker
blizzard_strayer,Blizzard Strayer,冰风迷途的勇士,5,snowswept_memory,Snowswept Memory,历经风雪的思念,icebreakers_resolve,Icebreaker's Resolve,摧冰而行的执望,frozen_homelands_demise,Frozen Homeland's Demise,冰雪故园的终期,frostweaved_dignity,Frost-Weaved Dignity,遍结寒霜的傲骨,broken_rimes_echo,Broken Rime's Echo,破冰踏雪的回音,获得15%冰元素伤害加成。,攻击处于冰元素影响下的敌人时，暴击率提高20%；若敌人处于冻结状态下，则暴击率额外提高20%。,blizzardStrayer
bloodstained_chivalry,Bloodstained Chivalry,染血的骑士道,5,bloodstained_flower_of_iron,Bloodstained Flower of Iron,染血的铁之心,bloodstained_black_plume,Bloodstained Black Plume,染血的黑之羽,bloodstained_final_hour,Bloodstained Final Hour,骑士染血之时,bloodstained_chevaliers_goblet,Bloodstained Chevalier's Goblet,染血骑士之杯,bloodstained_iron_mask,Bloodstained Iron Mask,染血的铁假面,造成的物理伤害提高25%。,击败敌人后的10秒内，施放重击时不消耗体力，且重击造成的伤害提升50%。,bloodstainedChivalry
brave_heart,Brave Heart,勇士之心,4,medal_of_the_brave,Medal of the Brave,勇士的勋章,prospect_of_the_brave,Prospect of the Brave,勇士的期许,fortitude_of_the_brave,Fortitude of the Brave,勇士的坚毅,outset_of_the_brave,Outset of the Brave,勇士的壮行,crown_of_the_brave,Crown of the Brave,勇士的冠冕,攻击力提高18%。,对生命值高于50%的敌人，造成的伤害增加30%。,braveHeart
crimson_witch_of_flames,Crimson Witch of Flames,炽烈的炎之魔女,5,witchs_flower_of_blaze,Witch's Flower of Blaze,魔女的炎之花,witchs_everburning_plume,Witch's Ever-Burning Plume,魔女常燃之羽,witchs_end_time,Witch's End Time,魔女破灭之时,witchs_heart_flames,Witch's Heart Flames,魔女的心之火,witchs_scorching_hat,Witch's Scorching Hat,焦灼的魔女帽,获得15%火元素伤害加成。,超载、燃烧、烈绽放反应造成的伤害提升40%，蒸发、融化反应的加成系数提高15%。施放元素战技后的10秒内，2件套的效果提高50%，该效果最多叠加3次。,crimsonWitch
deepwood_memories,Deepwood Memories,深林的记忆,5,labyrinth_wayfarer,Labyrinth Wayfarer,迷宫的游人,scholar_of_vines,Scholar of Vines,翠蔓的智者,a_time_of_insight,A Time of Insight,贤智的定期,lamp_of_the_lost,Lamp of the Lost,迷误者之灯,laurel_coronet,Laurel Coronet,月桂的宝冠,获得15%草元素伤害加成。,元素战技或元素爆发命中敌人后，使命中目标的草元素抗性降低30%，持续8秒。装备者处于队伍后台时，依然能触发该效果。,DeepwoodMemories
defenders_will,Defender's Will,守护之心,4,guardians_flower,Guardian's Flower,守护之花,guardians_sigil,Guardian's Sigil,守护徽印,guardians_clock,Guardian's Clock,守护座钟,guardians_vessel,Guardian's Vessel,守护之皿,guardians_band,Guardian's Band,守护束带,防御力提高30%。,队伍里每有不同一种元素类型的自己的角色，自身获得30%相应的元素抗性。,defenderWill
desert_pavilion_chronicle,Desert Pavilion Chronicle,沙上楼阁史话,5,the_first_days_of_the_city_of_kings,The First Days of the City of Kings,众王之都的开端,end_of_the_golden_realm,End of the Golden Realm,黄金邦国的结末,timepiece_of_the_lost_path,Timepiece of the Lost Path,失落迷途的机芯,defender_of_the_enchanting_dream,Defender of the Enchanting Dream,迷醉长梦的守护,legacy_of_the_desert_highborn,Legacy of the Desert High-Born,流沙贵嗣的遗宝,获得15%风元素伤害加成。,重击命中敌人后，该角色的普通攻击速度提升10%，普通攻击、重击与下落攻击造成的伤害提升40%，持续15秒。,DesertPavilionChronicle
echoes_of_an_offering,Echoes of an Offering,来歆余响,5,soulscent_bloom,Soulscent Bloom,魂香之花,jade_leaf,Jade Leaf,垂玉之叶,symbol_of_felicitation,Symbol of Felicitation,祝祀之凭,chalice_of_the_font,Chalice of the Font,涌泉之盏,flowing_rings,Flowing Rings,浮溯之珏,攻击力提高18%。,普通攻击命中敌人时，有36%概率触发「幽谷祝祀」：普通攻击造成的伤害提高，伤害提高值为攻击力的70%，该效果将在普通攻击造成伤害后的0.05秒后清除。普通攻击未触发「幽谷祝祀」时，会使下次触发概率提升20%；0.2秒内至多判定1次触发与否。,EchoesOfAnOffering
